0.0000E+00  0.2906E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.8183E+07  0.1004E+07  0.5651E+07  0.6931E+06  0.3894E+07  0.4775E+06
0.5000E+00  0.2905E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.8013E+07  0.1004E+07  0.5555E+07  0.6931E+06  0.3849E+07  0.4775E+06
0.1000E+01  0.2906E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.8092E+07  0.1004E+07  0.5574E+07  0.6931E+06  0.3891E+07  0.4775E+06
0.1500E+01  0.2905E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.8076E+07  0.1004E+07  0.5588E+07  0.6931E+06  0.3828E+07  0.4775E+06
0.2000E+01  0.2906E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.8028E+07  0.1004E+07  0.5541E+07  0.6931E+06  0.3839E+07  0.4775E+06
0.2500E+01  0.2905E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.8157E+07  0.1004E+07  0.5534E+07  0.6931E+06  0.3782E+07  0.4775E+06
0.3000E+01  0.2906E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.8114E+07  0.1004E+07  0.5591E+07  0.6931E+06  0.3693E+07  0.4775E+06
0.3500E+01  0.2906E+04  0.7126E+03  0.2023E+04  0.4963E+03  0.8115E+07  0.1004E+07  0.5594E+07  0.6931E+06  0.3847E+07  0.4775E+06
0.4000E+01  0.2906E+04  0.7126E+03  0.2023E+04  0.4963E+03  0.8123E+07  0.1004E+07  0.5365E+07  0.6931E+06  0.3691E+07  0.4775E+06
0.4500E+01  0.2905E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.7633E+07  0.1004E+07  0.5396E+07  0.6931E+06  0.3842E+07  0.4775E+06
0.5000E+01  0.2906E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.7806E+07  0.1004E+07  0.5379E+07  0.6931E+06  0.3607E+07  0.4775E+06
0.5500E+01  0.2906E+04  0.7126E+03  0.2024E+04  0.4963E+03  0.7953E+07  0.1004E+07  0.5211E+07  0.6931E+06  0.3675E+07  0.4775E+06
