0.0000E+00  0.9947E+00  0.5906E-01  0.1772E+00  0.3891E-01  0.1297E-01  0.3891E-01  0.6485E-01  0.2083E-01  0.6248E-01  0.1251E-01  0.4168E-02  0.1251E-01  0.2084E-01  0.1978E-01  0.1978E-01  0.2590E-01  0.5935E-01  0.5935E-01  0.7769E-01  0.5453E-01  0.5453E-01  0.6859E-01  0.9383E-02  0.9383E-02  0.1126E-01
0.5000E+00  0.9307E+00  0.5645E-01  0.1694E+00  0.3721E-01  0.1240E-01  0.3721E-01  0.6202E-01  0.1961E-01  0.5883E-01  0.1194E-01  0.3981E-02  0.1194E-01  0.1990E-01  0.1816E-01  0.1816E-01  0.2390E-01  0.5447E-01  0.5447E-01  0.7170E-01  0.4959E-01  0.4959E-01  0.6275E-01  0.8403E-02  0.8403E-02  0.1027E-01
0.1000E+01  0.7776E+00  0.4982E-01  0.1494E+00  0.3305E-01  0.1102E-01  0.3305E-01  0.5508E-01  0.1663E-01  0.4989E-01  0.1052E-01  0.3508E-02  0.1052E-01  0.1754E-01  0.1441E-01  0.1441E-01  0.1917E-01  0.4324E-01  0.4324E-01  0.5750E-01  0.3793E-01  0.3793E-01  0.4933E-01  0.6237E-02  0.6237E-02  0.7944E-02
0.1500E+01  0.6048E+00  0.4162E-01  0.1249E+00  0.2799E-01  0.9331E-02  0.2799E-01  0.4665E-01  0.1313E-01  0.3938E-01  0.8781E-02  0.2927E-02  0.8781E-02  0.1464E-01  0.1029E-01  0.1029E-01  0.1400E-01  0.3088E-01  0.3088E-01  0.4199E-01  0.2587E-01  0.2587E-01  0.3506E-01  0.4045E-02  0.4045E-02  0.5486E-02
0.2000E+01  0.4549E+00  0.3363E-01  0.1009E+00  0.2319E-01  0.7728E-02  0.2319E-01  0.3864E-01  0.9941E-02  0.2982E-01  0.7104E-02  0.2368E-02  0.7104E-02  0.1184E-01  0.6952E-02  0.6952E-02  0.9736E-02  0.2086E-01  0.2086E-01  0.2921E-01  0.1645E-01  0.1645E-01  0.2355E-01  0.2438E-02  0.2438E-02  0.3552E-02
0.2500E+01  0.3390E+00  0.2676E-01  0.8027E-01  0.1905E-01  0.6350E-02  0.1905E-01  0.3175E-01  0.7380E-02  0.2214E-01  0.5653E-02  0.1884E-02  0.5653E-02  0.9421E-02  0.4552E-02  0.4552E-02  0.6622E-02  0.1366E-01  0.1366E-01  0.1987E-01  0.1012E-01  0.1012E-01  0.1537E-01  0.1431E-02  0.1431E-02  0.2226E-02
0.3000E+01  0.2536E+00  0.2115E-01  0.6344E-01  0.1565E-01  0.5217E-02  0.1565E-01  0.2609E-01  0.5443E-02  0.1633E-01  0.4471E-02  0.1490E-02  0.4471E-02  0.7451E-02  0.2948E-02  0.2948E-02  0.4475E-02  0.8845E-02  0.8845E-02  0.1343E-01  0.6170E-02  0.6170E-02  0.9905E-02  0.8154E-03  0.8154E-03  0.1376E-02
0.3500E+01  0.1915E+00  0.1669E-01  0.5007E-01  0.1290E-01  0.4300E-02  0.1290E-01  0.2150E-01  0.4010E-02  0.1203E-01  0.3527E-02  0.1176E-02  0.3527E-02  0.5879E-02  0.1905E-02  0.1905E-02  0.3025E-02  0.5715E-02  0.5715E-02  0.9076E-02  0.3745E-02  0.3745E-02  0.6363E-02  0.4700E-03  0.4700E-03  0.8510E-03
0.4000E+01  0.1464E+00  0.1320E-01  0.3960E-01  0.1067E-01  0.3558E-02  0.1067E-01  0.1779E-01  0.2965E-02  0.8895E-02  0.2784E-02  0.9281E-03  0.2784E-02  0.4640E-02  0.1233E-02  0.1233E-02  0.2057E-02  0.3700E-02  0.3700E-02  0.6171E-02  0.2304E-02  0.2304E-02  0.4126E-02  0.2721E-03  0.2721E-03  0.5270E-03
0.4500E+01  0.1133E+00  0.1048E-01  0.3143E-01  0.8869E-02  0.2956E-02  0.8869E-02  0.1478E-01  0.2205E-02  0.6616E-02  0.2204E-02  0.7346E-03  0.2204E-02  0.3673E-02  0.8049E-03  0.8049E-03  0.1407E-02  0.2415E-02  0.2415E-02  0.4221E-02  0.1425E-02  0.1425E-02  0.2694E-02  0.1589E-03  0.1589E-03  0.3260E-03
0.5000E+01  0.8869E-01  0.8355E-02  0.2507E-01  0.7399E-02  0.2466E-02  0.7399E-02  0.1233E-01  0.1649E-02  0.4948E-02  0.1749E-02  0.5829E-03  0.1749E-02  0.2915E-02  0.5317E-03  0.5317E-03  0.9707E-03  0.1595E-02  0.1595E-02  0.2912E-02  0.8865E-03  0.8865E-03  0.1774E-02  0.9423E-04  0.9423E-04  0.2051E-03
0.5500E+01  0.7016E-01  0.6690E-02  0.2007E-01  0.6196E-02  0.2065E-02  0.6196E-02  0.1033E-01  0.1242E-02  0.3727E-02  0.1393E-02  0.4644E-03  0.1393E-02  0.2322E-02  0.3536E-03  0.3536E-03  0.6759E-03  0.1061E-02  0.1061E-02  0.2028E-02  0.5599E-03  0.5599E-03  0.1176E-02  0.5642E-04  0.5642E-04  0.1300E-03
0.6000E+01  0.5603E-01  0.5384E-02  0.1615E-01  0.5209E-02  0.1736E-02  0.5209E-02  0.8681E-02  0.9418E-03  0.2825E-02  0.1113E-02  0.3712E-03  0.1113E-02  0.1856E-02  0.2375E-03  0.2375E-03  0.4716E-03  0.7126E-03  0.7126E-03  0.1415E-02  0.3562E-03  0.3562E-03  0.7869E-03  0.3436E-04  0.3436E-04  0.8282E-04
0.6500E+01  0.4515E-01  0.4354E-02  0.1306E-01  0.4393E-02  0.1464E-02  0.4393E-02  0.7322E-02  0.7186E-03  0.2156E-02  0.8931E-03  0.2977E-03  0.8931E-03  0.1488E-02  0.1606E-03  0.1606E-03  0.3340E-03  0.4817E-03  0.4817E-03  0.1002E-02  0.2306E-03  0.2306E-03  0.5323E-03  0.2108E-04  0.2108E-04  0.5363E-04
0.7000E+01  0.3665E-01  0.3538E-02  0.1061E-01  0.3715E-02  0.1238E-02  0.3715E-02  0.6192E-02  0.5517E-03  0.1655E-02  0.7188E-03  0.2396E-03  0.7188E-03  0.1198E-02  0.1100E-03  0.1100E-03  0.2378E-03  0.3301E-03  0.3301E-03  0.7135E-03  0.1505E-03  0.1505E-03  0.3610E-03  0.1311E-04  0.1311E-04  0.3481E-04
0.7500E+01  0.2995E-01  0.2886E-02  0.8657E-02  0.3152E-02  0.1051E-02  0.3152E-02  0.5254E-02  0.4261E-03  0.1278E-02  0.5807E-03  0.1936E-03  0.5807E-03  0.9679E-03  0.7591E-04  0.7591E-04  0.1691E-03  0.2277E-03  0.2277E-03  0.5073E-03  0.9833E-04  0.9833E-04  0.2479E-03  0.8270E-05  0.8270E-05  0.2291E-04
